stride , sum, time (msec), rate (MB/s)
1, 1000000.000000, 4.000000, 1907.348633
2, 1000000.000000, 3.000000, 2543.131510
3, 1000000.000000, 4.000000, 1907.348633
4, 1000000.000000, 4.000000, 1907.348633
5, 1000000.000000, 4.000000, 1907.348633
6, 1000000.000000, 3.000000, 2543.131510
7, 1000000.000000, 5.000000, 1525.878906
8, 1000000.000000, 4.000000, 1907.348633
9, 1000000.000000, 5.000000, 1525.878906
10, 1000000.000000, 4.000000, 1907.348633
11, 1000000.000000, 5.000000, 1525.878906
12, 1000000.000000, 6.000000, 1271.565755
13, 1000000.000000, 5.000000, 1525.878906
14, 1000000.000000, 7.000000, 1089.913504
15, 1000000.000000, 7.000000, 1089.913504
16, 1000000.000000, 8.000000, 953.674316
17, 1000000.000000, 8.000000, 953.674316
18, 1000000.000000, 7.000000, 1089.913504
19, 1000000.000000, 7.000000, 1089.913504
20, 1000000.000000, 6.000000, 1271.565755
