Threads,Schedule,Elapsed_Time,Speedup,Efficiency
1,static,1.266684,.9962,99.00
2,static,.629591,2.0043,100.00
4,static,.330012,3.8238,95.00
8,static,.409940,3.0783,38.00
16,static,.587697,2.1472,13.00
1,dynamic,1.294691,.9746,97.00
2,dynamic,.815809,1.5468,77.00
4,dynamic,.557381,2.2640,56.00
8,dynamic,.733307,1.7208,21.00
16,dynamic,.969509,1.3016,8.00
1,guided,1.252741,1.0073,100.00
2,guided,.627706,2.0103,100.00
4,guided,.319263,3.9526,98.00
8,guided,.402061,3.1386,39.00
16,guided,.567186,2.2248,13.00
